Municipio,Material Pared,Material Piso,Tipo Vivienda,No. edificaciones,TPER,THOG,Departamento,COD,No. total edificaciones
001,"Caña, esterilla, otros vegetales","Tierra, arena, barro",Casa,13,59.0,17.0,94,94001,4585.0
001,"Madera burda, tabla, tablón, otro vegetal","Cemento, gravilla",Casa,33,343.0,79.0,94,94001,4585.0
001,"Madera burda, tabla, tablón, otro vegetal","Cemento, gravilla",Apartamento,1,1.0,1.0,94,94001,4585.0
001,"Madera burda, tabla, tablón, otro vegetal","Cemento, gravilla",Tipo Cuarto,1,1.0,1.0,94,94001,4585.0
001,"Madera burda, tabla, tablón, otro vegetal","Madera burda, tabla, tablón, otro vegetal",Casa,2,20.0,4.0,94,94001,4585.0
001,"Madera burda, tabla, tablón, otro vegetal","Tierra, arena, barro",Casa,171,1671.0,389.0,94,94001,4585.0
001,"Madera burda, tabla, tablón, otro vegetal","Tierra, arena, barro",Tipo Cuarto,5,17.0,5.0,94,94001,4585.0
001,No tiene paredes,"Tierra, arena, barro",Casa,1,6.0,1.0,94,94001,4585.0
343,Sin información,Sin información,Casa,19,0.0,0.0,94,94343,111.0
343,"Bloque, ladrillo, piedra, madera pulida","Mármol, parqué, madera pulida y lacada",Casa,3,16.0,7.0,94,94343,111.0
343,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,3,7.0,4.0,94,94343,111.0
343,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Tipo Cuarto,1,2.0,1.0,94,94343,111.0
343,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Casa,15,55.0,19.0,94,94343,111.0
343,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Tipo Cuarto,2,3.0,2.0,94,94343,111.0
343,"Bloque, ladrillo, piedra, madera pulida","Madera burda, tabla, tablón, otro vegetal",Casa,2,3.0,3.0,94,94343,111.0
343,Material prefabricado,"Cemento, gravilla",Casa,1,1.0,1.0,94,94343,111.0
343,Guadua,"Tierra, arena, barro",Casa,1,7.0,1.0,94,94343,111.0
343,"Madera burda, tabla, tablón","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,1,19.0,3.0,94,94343,111.0
343,"Madera burda, tabla, tablón","Cemento, gravilla",Casa,47,680.0,149.0,94,94343,111.0
343,"Madera burda, tabla, tablón","Cemento, gravilla",Tipo Cuarto,2,2.0,2.0,94,94343,111.0
343,"Madera burda, tabla, tablón","Madera burda, tabla, tablón, otro vegetal",Casa,8,28.0,12.0,94,94343,111.0
343,"Madera burda, tabla, tablón","Madera burda, tabla, tablón, otro vegetal",Tipo Cuarto,1,1.0,1.0,94,94343,111.0
343,"Madera burda, tabla, tablón","Tierra, arena, barro",Casa,4,27.0,6.0,94,94343,111.0
343,"Madera burda, tabla, tablón, otro vegetal","Tierra, arena, barro",Casa,1,1.0,1.0,94,94343,111.0
883,Sin información,Sin información,Casa,1,0.0,0.0,94,94883,31.0
883,Sin información,Sin información,Tipo Cuarto,1,0.0,0.0,94,94883,31.0
883,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,1,6.0,2.0,94,94883,31.0
883,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Casa,6,22.0,9.0,94,94883,31.0
883,Material prefabricado,Alfombra,Casa,1,7.0,2.0,94,94883,31.0
883,"Madera burda, tabla, tablón",Alfombra,Tipo Cuarto,1,2.0,1.0,94,94883,31.0
883,"Madera burda, tabla, tablón","Cemento, gravilla",Casa,10,47.0,15.0,94,94883,31.0
883,"Madera burda, tabla, tablón","Madera burda, tabla, tablón, otro vegetal",Casa,8,21.0,10.0,94,94883,31.0
883,"Madera burda, tabla, tablón","Tierra, arena, barro",Casa,1,3.0,1.0,94,94883,31.0
883,"Madera burda, tabla, tablón, otro vegetal","Cemento, gravilla",Casa,1,1.0,1.0,94,94883,31.0
884,"Madera burda, tabla, tablón","Cemento, gravilla",Casa,1,3.0,2.0,94,94884,4.0
884,"Madera burda, tabla, tablón","Madera burda, tabla, tablón, otro vegetal",Casa,1,1.0,1.0,94,94884,4.0
884,"Madera burda, tabla, tablón","Tierra, arena, barro",Casa,2,2.0,2.0,94,94884,4.0
885,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,2,10.0,3.0,94,94885,14.0
885,Material prefabricado,"Cemento, gravilla",Casa,1,1.0,1.0,94,94885,14.0
885,"Tapia pisada, bahareque, adobe","Cemento, gravilla",Casa,1,6.0,1.0,94,94885,14.0
885,"Tapia pisada, bahareque, adobe","Tierra, arena, barro",Casa,3,22.0,5.0,94,94885,14.0
885,"Madera burda, tabla, tablón","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,1,10.0,2.0,94,94885,14.0
885,"Madera burda, tabla, tablón","Cemento, gravilla",Casa,2,6.0,2.0,94,94885,14.0
885,"Madera burda, tabla, tablón","Tierra, arena, barro",Casa,4,11.0,4.0,94,94885,14.0
886,Sin información,Sin información,Casa,25,0.0,0.0,94,94886,92.0
886,"Tapia pisada, bahareque, adobe","Cemento, gravilla",Casa,25,147.0,30.0,94,94886,92.0
886,"Tapia pisada, bahareque, adobe","Tierra, arena, barro",Casa,27,157.0,33.0,94,94886,92.0
886,"Madera burda, tabla, tablón","Cemento, gravilla",Casa,8,34.0,9.0,94,94886,92.0
886,"Madera burda, tabla, tablón","Tierra, arena, barro",Casa,2,10.0,2.0,94,94886,92.0
886,"Madera burda, tabla, tablón, otro vegetal","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,1,3.0,1.0,94,94886,92.0
886,"Madera burda, tabla, tablón, otro vegetal","Cemento, gravilla",Casa,1,3.0,1.0,94,94886,92.0
886,"Madera burda, tabla, tablón, otro vegetal","Tierra, arena, barro",Casa,2,13.0,2.0,94,94886,92.0
886,"Madera burda, tabla, tablón, otro vegetal","Tierra, arena, barro",Apartamento,1,1.0,1.0,94,94886,92.0
887,Sin información,Sin información,Casa,2,0.0,0.0,94,94887,19.0
887,Concreto vaciado,"Cemento, gravilla",Casa,1,2.0,1.0,94,94887,19.0
887,"Tapia pisada, bahareque, adobe","Cemento, gravilla",Casa,1,9.0,3.0,94,94887,19.0
887,"Tapia pisada, bahareque, adobe","Madera burda, tabla, tablón, otro vegetal",Casa,2,17.0,4.0,94,94887,19.0
887,"Tapia pisada, bahareque, adobe","Tierra, arena, barro",Casa,4,31.0,9.0,94,94887,19.0
887,"Madera burda, tabla, tablón","Cemento, gravilla",Casa,2,21.0,6.0,94,94887,19.0
887,"Madera burda, tabla, tablón","Madera burda, tabla, tablón, otro vegetal",Casa,4,33.0,8.0,94,94887,19.0
887,"Madera burda, tabla, tablón","Tierra, arena, barro",Casa,3,17.0,5.0,94,94887,19.0
888,Sin información,Sin información,Casa,4,0.0,0.0,94,94888,25.0
888,"Bloque, ladrillo, piedra, madera pulida","Mármol, parqué, madera pulida y lacada",Casa,1,1.0,1.0,94,94888,25.0
888,"Tapia pisada, bahareque, adobe","Tierra, arena, barro",Casa,1,8.0,1.0,94,94888,25.0
888,"Madera burda, tabla, tablón","Cemento, gravilla",Casa,2,7.0,2.0,94,94888,25.0
888,"Madera burda, tabla, tablón","Madera burda, tabla, tablón, otro vegetal",Casa,8,39.0,8.0,94,94888,25.0
888,"Madera burda, tabla, tablón","Tierra, arena, barro",Casa,9,57.0,9.0,94,94888,25.0
001,Sin información,Sin información,Casa,605,0.0,0.0,99,99001,4256.0
001,Sin información,Sin información,Apartamento,119,0.0,0.0,99,99001,4256.0
001,Sin información,Sin información,Tipo Cuarto,52,0.0,0.0,99,99001,4256.0
001,"Bloque, ladrillo, piedra, madera pulida","Mármol, parqué, madera pulida y lacada",Casa,34,127.0,47.0,99,99001,4256.0
001,"Bloque, ladrillo, piedra, madera pulida","Mármol, parqué, madera pulida y lacada",Apartamento,11,37.0,16.0,99,99001,4256.0
001,"Bloque, ladrillo, piedra, madera pulida","Mármol, parqué, madera pulida y lacada",Tipo Cuarto,10,19.0,11.0,99,99001,4256.0
001,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,773,2725.0,920.0,99,99001,4256.0
001,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,278,837.0,362.0,99,99001,4256.0
001,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Tipo Cuarto,78,134.0,87.0,99,99001,4256.0
001,"Bloque, ladrillo, piedra, madera pulida",Alfombra,Casa,3,12.0,5.0,99,99001,4256.0
001,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Casa,1388,6086.0,1812.0,99,99001,4256.0
001,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Apartamento,186,761.0,262.0,99,99001,4256.0
001,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Tipo Cuarto,71,211.0,95.0,99,99001,4256.0
001,"Bloque, ladrillo, piedra, madera pulida","Madera burda, tabla, tablón, otro vegetal",Casa,4,16.0,6.0,99,99001,4256.0
001,"Bloque, ladrillo, piedra, madera pulida","Madera burda, tabla, tablón, otro vegetal",Apartamento,2,5.0,2.0,99,99001,4256.0
001,"Bloque, ladrillo, piedra, madera pulida","Tierra, arena, barro",Casa,73,339.0,89.0,99,99001,4256.0
001,"Bloque, ladrillo, piedra, madera pulida","Tierra, arena, barro",Apartamento,2,2.0,2.0,99,99001,4256.0
001,"Bloque, ladrillo, piedra, madera pulida","Tierra, arena, barro",Tipo Cuarto,5,17.0,8.0,99,99001,4256.0
001,Concreto vaciado,"Mármol, parqué, madera pulida y lacada",Casa,1,1.0,1.0,99,99001,4256.0
001,Concreto vaciado,"Mármol, parqué, madera pulida y lacada",Apartamento,1,3.0,1.0,99,99001,4256.0
001,Concreto vaciado,"Mármol, parqué, madera pulida y lacada",Tipo Cuarto,1,2.0,1.0,99,99001,4256.0
001,Concreto vaciado,"Baldosa, vinilo, tableta, ladrillo, laminado",Casa,76,255.0,80.0,99,99001,4256.0
001,Concreto vaciado,"Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,31,60.0,31.0,99,99001,4256.0
001,Concreto vaciado,"Baldosa, vinilo, tableta, ladrillo, laminado",Tipo Cuarto,15,24.0,15.0,99,99001,4256.0
001,Concreto vaciado,"Cemento, gravilla",Casa,42,162.0,43.0,99,99001,4256.0
001,Concreto vaciado,"Cemento, gravilla",Apartamento,10,32.0,11.0,99,99001,4256.0
001,Concreto vaciado,"Cemento, gravilla",Tipo Cuarto,6,18.0,10.0,99,99001,4256.0
001,Concreto vaciado,"Tierra, arena, barro",Casa,2,7.0,2.0,99,99001,4256.0
001,Material prefabricado,"Baldosa, vinilo, tableta, ladrillo, laminado",Casa,1,5.0,1.0,99,99001,4256.0
001,Material prefabricado,"Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,3,4.0,3.0,99,99001,4256.0
001,Material prefabricado,"Baldosa, vinilo, tableta, ladrillo, laminado",Tipo Cuarto,1,1.0,1.0,99,99001,4256.0
001,Material prefabricado,"Cemento, gravilla",Casa,1,1.0,1.0,99,99001,4256.0
001,Material prefabricado,"Madera burda, tabla, tablón, otro vegetal",Casa,1,1.0,1.0,99,99001,4256.0
001,Material prefabricado,"Tierra, arena, barro",Casa,1,1.0,1.0,99,99001,4256.0
001,Guadua,"Baldosa, vinilo, tableta, ladrillo, laminado",Casa,1,1.0,1.0,99,99001,4256.0
001,Guadua,"Cemento, gravilla",Casa,1,3.0,1.0,99,99001,4256.0
001,"Tapia pisada, bahareque, adobe","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,1,2.0,1.0,99,99001,4256.0
001,"Tapia pisada, bahareque, adobe","Cemento, gravilla",Casa,3,10.0,3.0,99,99001,4256.0
001,"Tapia pisada, bahareque, adobe","Tierra, arena, barro",Casa,8,32.0,10.0,99,99001,4256.0
001,"Madera burda, tabla, tablón","Cemento, gravilla",Casa,29,122.0,35.0,99,99001,4256.0
001,"Madera burda, tabla, tablón","Cemento, gravilla",Tipo Cuarto,1,1.0,1.0,99,99001,4256.0
001,"Madera burda, tabla, tablón","Madera burda, tabla, tablón, otro vegetal",Casa,5,16.0,5.0,99,99001,4256.0
001,"Madera burda, tabla, tablón","Tierra, arena, barro",Casa,35,134.0,40.0,99,99001,4256.0
001,"Caña, esterilla, otros vegetales","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,1,3.0,1.0,99,99001,4256.0
001,"Caña, esterilla, otros vegetales","Tierra, arena, barro",Casa,1,3.0,1.0,99,99001,4256.0
001,"Madera burda, tabla, tablón, otro vegetal","Mármol, parqué, madera pulida y lacada",Casa,1,4.0,1.0,99,99001,4256.0
001,"Madera burda, tabla, tablón, otro vegetal","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,1,5.0,1.0,99,99001,4256.0
001,"Madera burda, tabla, tablón, otro vegetal","Baldosa, vinilo, tableta, ladrillo, laminado",Tipo Cuarto,2,2.0,2.0,99,99001,4256.0
001,"Madera burda, tabla, tablón, otro vegetal","Cemento, gravilla",Casa,37,189.0,46.0,99,99001,4256.0
001,"Madera burda, tabla, tablón, otro vegetal","Cemento, gravilla",Apartamento,1,6.0,2.0,99,99001,4256.0
001,"Madera burda, tabla, tablón, otro vegetal","Cemento, gravilla",Tipo Cuarto,2,6.0,4.0,99,99001,4256.0
001,"Madera burda, tabla, tablón, otro vegetal","Madera burda, tabla, tablón, otro vegetal",Casa,1,1.0,1.0,99,99001,4256.0
001,"Madera burda, tabla, tablón, otro vegetal","Tierra, arena, barro",Casa,218,1207.0,297.0,99,99001,4256.0
001,"Madera burda, tabla, tablón, otro vegetal","Tierra, arena, barro",Apartamento,2,7.0,2.0,99,99001,4256.0
001,"Madera burda, tabla, tablón, otro vegetal","Tierra, arena, barro",Tipo Cuarto,16,49.0,16.0,99,99001,4256.0
001,No tiene paredes,"Cemento, gravilla",Casa,2,5.0,2.0,99,99001,4256.0
524,Sin información,Sin información,Casa,433,0.0,0.0,99,99524,1869.0
524,Sin información,Sin información,Apartamento,9,0.0,0.0,99,99524,1869.0
524,Sin información,Sin información,Tipo Cuarto,9,0.0,0.0,99,99524,1869.0
524,"Bloque, ladrillo, piedra, madera pulida","Mármol, parqué, madera pulida y lacada",Casa,6,20.0,9.0,99,99524,1869.0
524,"Bloque, ladrillo, piedra, madera pulida","Mármol, parqué, madera pulida y lacada",Tipo Cuarto,1,1.0,1.0,99,99524,1869.0
524,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,316,1190.0,406.0,99,99524,1869.0
524,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,27,87.0,37.0,99,99524,1869.0
524,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Tipo Cuarto,44,85.0,58.0,99,99524,1869.0
524,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Casa,614,2509.0,767.0,99,99524,1869.0
524,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Apartamento,9,35.0,14.0,99,99524,1869.0
524,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Tipo Cuarto,11,48.0,22.0,99,99524,1869.0
524,"Bloque, ladrillo, piedra, madera pulida","Madera burda, tabla, tablón, otro vegetal",Casa,3,9.0,4.0,99,99524,1869.0
524,"Bloque, ladrillo, piedra, madera pulida","Tierra, arena, barro",Casa,180,845.0,259.0,99,99524,1869.0
524,"Bloque, ladrillo, piedra, madera pulida","Tierra, arena, barro",Tipo Cuarto,10,31.0,16.0,99,99524,1869.0
524,Concreto vaciado,"Baldosa, vinilo, tableta, ladrillo, laminado",Casa,2,4.0,2.0,99,99524,1869.0
524,Concreto vaciado,"Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,3,3.0,3.0,99,99524,1869.0
524,Concreto vaciado,"Baldosa, vinilo, tableta, ladrillo, laminado",Tipo Cuarto,5,6.0,5.0,99,99524,1869.0
524,Concreto vaciado,"Cemento, gravilla",Casa,4,16.0,4.0,99,99524,1869.0
524,Material prefabricado,"Baldosa, vinilo, tableta, ladrillo, laminado",Casa,1,3.0,1.0,99,99524,1869.0
524,Material prefabricado,"Baldosa, vinilo, tableta, ladrillo, laminado",Tipo Cuarto,5,5.0,5.0,99,99524,1869.0
524,Material prefabricado,"Cemento, gravilla",Casa,2,11.0,2.0,99,99524,1869.0
524,Material prefabricado,"Tierra, arena, barro",Casa,2,10.0,2.0,99,99524,1869.0
524,Guadua,"Tierra, arena, barro",Casa,1,4.0,1.0,99,99524,1869.0
524,"Tapia pisada, bahareque, adobe","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,4,6.0,4.0,99,99524,1869.0
524,"Tapia pisada, bahareque, adobe","Baldosa, vinilo, tableta, ladrillo, laminado",Tipo Cuarto,1,1.0,1.0,99,99524,1869.0
524,"Tapia pisada, bahareque, adobe","Cemento, gravilla",Casa,19,48.0,20.0,99,99524,1869.0
524,"Tapia pisada, bahareque, adobe","Tierra, arena, barro",Casa,21,58.0,23.0,99,99524,1869.0
524,"Tapia pisada, bahareque, adobe","Tierra, arena, barro",Tipo Cuarto,1,1.0,1.0,99,99524,1869.0
524,"Madera burda, tabla, tablón","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,2,4.0,2.0,99,99524,1869.0
524,"Madera burda, tabla, tablón","Cemento, gravilla",Casa,19,55.0,21.0,99,99524,1869.0
524,"Madera burda, tabla, tablón","Madera burda, tabla, tablón, otro vegetal",Casa,1,6.0,1.0,99,99524,1869.0
524,"Madera burda, tabla, tablón","Madera burda, tabla, tablón, otro vegetal",Tipo Cuarto,1,4.0,1.0,99,99524,1869.0
524,"Madera burda, tabla, tablón","Tierra, arena, barro",Casa,24,92.0,24.0,99,99524,1869.0
524,"Madera burda, tabla, tablón","Tierra, arena, barro",Tipo Cuarto,1,3.0,1.0,99,99524,1869.0
524,"Madera burda, tabla, tablón, otro vegetal","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,2,6.0,2.0,99,99524,1869.0
524,"Madera burda, tabla, tablón, otro vegetal","Baldosa, vinilo, tableta, ladrillo, laminado",Tipo Cuarto,1,2.0,1.0,99,99524,1869.0
524,"Madera burda, tabla, tablón, otro vegetal","Cemento, gravilla",Casa,3,12.0,3.0,99,99524,1869.0
524,"Madera burda, tabla, tablón, otro vegetal","Tierra, arena, barro",Casa,71,345.0,91.0,99,99524,1869.0
524,"Madera burda, tabla, tablón, otro vegetal","Tierra, arena, barro",Tipo Cuarto,1,3.0,1.0,99,99524,1869.0
624,Sin información,Sin información,Casa,115,0.0,0.0,99,99624,708.0
624,Sin información,Sin información,Tipo Cuarto,1,0.0,0.0,99,99624,708.0
624,"Bloque, ladrillo, piedra, madera pulida","Mármol, parqué, madera pulida y lacada",Casa,3,24.0,7.0,99,99624,708.0
624,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,82,276.0,101.0,99,99624,708.0
624,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,3,9.0,6.0,99,99624,708.0
624,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Tipo Cuarto,2,6.0,2.0,99,99624,708.0
624,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Casa,406,1651.0,503.0,99,99624,708.0
624,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Apartamento,1,5.0,1.0,99,99624,708.0
624,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Tipo Cuarto,2,6.0,3.0,99,99624,708.0
624,"Bloque, ladrillo, piedra, madera pulida","Tierra, arena, barro",Casa,29,148.0,35.0,99,99624,708.0
624,"Bloque, ladrillo, piedra, madera pulida","Tierra, arena, barro",Tipo Cuarto,2,8.0,2.0,99,99624,708.0
624,Concreto vaciado,"Baldosa, vinilo, tableta, ladrillo, laminado",Casa,2,6.0,2.0,99,99624,708.0
624,Concreto vaciado,"Cemento, gravilla",Casa,1,4.0,1.0,99,99624,708.0
624,Material prefabricado,"Baldosa, vinilo, tableta, ladrillo, laminado",Tipo Cuarto,1,1.0,1.0,99,99624,708.0
624,"Tapia pisada, bahareque, adobe","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,1,5.0,1.0,99,99624,708.0
624,"Tapia pisada, bahareque, adobe","Cemento, gravilla",Casa,9,46.0,14.0,99,99624,708.0
624,"Tapia pisada, bahareque, adobe","Tierra, arena, barro",Casa,15,57.0,18.0,99,99624,708.0
624,"Madera burda, tabla, tablón","Cemento, gravilla",Casa,10,34.0,10.0,99,99624,708.0
624,"Madera burda, tabla, tablón","Tierra, arena, barro",Casa,8,32.0,9.0,99,99624,708.0
624,"Madera burda, tabla, tablón","Tierra, arena, barro",Tipo Cuarto,1,1.0,1.0,99,99624,708.0
624,"Madera burda, tabla, tablón, otro vegetal","Cemento, gravilla",Casa,6,17.0,6.0,99,99624,708.0
624,"Madera burda, tabla, tablón, otro vegetal","Cemento, gravilla",Tipo Cuarto,1,1.0,1.0,99,99624,708.0
624,"Madera burda, tabla, tablón, otro vegetal","Tierra, arena, barro",Casa,6,26.0,7.0,99,99624,708.0
