cod,mpio_name,Municipio,UA_CLASE,U_SECT_RUR,U_SECC_RUR,UA2_CPOB,U_SECT_URB,U_SECC_URB,U_MZA,No. edificaciones,TPER,THOG,THOM,TMUJ,T00,T05,T10,T15,T20,T25,T30,T35,T40,T45,T50,T55,T60,T65,T70,T75,T80,T85,T90,T95,T100,ADO|EU/LWAL+DNO/H:1,"ADO|EU/LWAL+DNO/H:1,2",CR+PC/LWAL+DUL/H:1,"CR+PC/LWAL+DUL/H:1,2",CR/LINF+DNO/H:3,CR/LINF+DNO/H:4,CR/LINF+DNO/H:5,"CR/LINF+DNO/H:6,10",CR/LINF+DUL/H:3,CR/LINF+DUL/H:4,CR/LINF+DUL/H:5,"CR/LINF+DUL/H:6,10",CR/LWAL+DUL/H:1,CR/LWAL+DUL/H:2,MATO/LN,MCF/LWAL+DNO/H:1,MCF/LWAL+DNO/H:2,MCF/LWAL+DNO/H:3,MCF/LWAL+DUL/H:1,MCF/LWAL+DUL/H:2,MCF/LWAL+DUL/H:3,MR/LWAL+DUL/H:2,MR/LWAL+DUL/H:3,MR/LWAL+DUL/H:4,MR/LWAL+DUL/H:5,MR/LWAL+DUL/H:6,MUR+ST/LWAL+DNO/H:1,MUR+ST/LWAL+DNO/H:2,MUR/LWAL+DNO/H:1,MUR/LWAL+DNO/H:2,MUR/LWAL+DNO/H:3,UNK,W+WO/LN+DNO/H:1,"W+WO/LN+DNO/H:1,2"
68745,Simacota,745,1,0,0,0,1,3,7,18,47,20,17,30,3,5,3,5,3,2,1,3,6,2,4,0,0,3,4,1,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,2,0,0
68745,Simacota,745,1,0,0,0,1,3,8,34,114,41,56,58,6,10,13,7,8,6,16,7,6,8,4,8,4,1,0,3,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20,9,0,2,0,0
68745,Simacota,745,1,0,0,0,1,3,10,14,63,18,28,35,3,3,4,7,3,8,4,4,3,2,9,5,2,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0
68745,Simacota,745,1,0,0,0,1,4,1,8,27,7,11,16,3,3,2,2,2,3,1,2,3,2,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0
68745,Simacota,745,1,0,0,0,1,4,3,4,8,4,3,5,0,1,0,0,0,0,0,1,1,2,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
68745,Simacota,745,1,0,0,0,1,4,4,17,51,18,23,28,4,5,6,2,4,5,5,5,2,5,0,3,1,1,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,3,0,0
68745,Simacota,745,1,0,0,0,1,4,5,24,65,23,30,35,3,4,4,1,2,4,5,4,2,6,3,5,4,8,3,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,4,0,0
68745,Simacota,745,1,0,0,0,1,4,6,16,34,15,20,14,1,1,3,4,6,0,4,0,4,1,2,1,1,2,2,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,0,0
68745,Simacota,745,1,0,0,0,1,4,7,20,61,26,25,36,3,2,5,2,11,4,4,2,3,1,6,4,7,2,1,2,0,1,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,4,0,0
68745,Simacota,745,1,0,0,0,1,4,8,25,56,26,27,29,1,4,3,0,2,7,6,3,2,4,3,7,3,5,2,3,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,2,0,0
