COD,"Bloque, ladrillo, piedra, madera pulida","Cana, esterilla, otros vegetales",Concreto vaciado,Guadua,"Madera burda, tabla, tablon","Madera burda, tabla, tablon, otro vegetal",Material prefabricado,No tiene paredes,Sin informacion,"Tapia pisada, bahareque, adobe"
25506,276,0,12,0,8,0,13,0,42,9
25513,2871,0,23,7,43,4,31,0,539,43
25518,188,0,3,4,19,0,7,0,59,33
25524,268,0,10,1,2,1,11,0,134,35
25530,1087,0,22,0,42,10,5,0,119,4
25535,611,0,5,0,10,2,7,0,48,6
25572,3210,1,51,1,129,5,15,0,484,4
25580,173,0,0,0,0,0,6,0,47,23
25592,295,0,4,0,5,1,13,0,83,4
25594,429,0,11,0,2,1,14,0,75,14
25596,302,3,6,1,1,0,11,0,106,71
25599,819,3,12,1,3,6,18,0,305,43
25612,1243,52,35,29,7,5,32,0,2109,35
25645,567,0,3,0,2,2,11,0,146,6
25649,630,0,6,1,28,1,79,0,94,95
25653,269,0,0,2,5,0,3,0,52,0
25658,731,0,7,0,0,1,3,0,118,1
25662,1018,0,17,12,11,1,58,0,267,164
25718,542,1,6,0,3,2,20,0,84,9
25736,1095,0,2,0,14,0,64,0,136,33
25740,4823,1,85,0,6,11,147,0,312,7
25743,1716,0,13,0,13,2,40,0,717,14
25745,1635,1,5,0,9,0,20,0,197,44
25754,77822,13,2837,14,855,771,1236,0,7674,83
25758,2994,0,21,2,6,1,38,0,160,24
25769,1828,1,8,0,2,0,24,0,122,22
25772,1725,0,7,0,4,1,23,0,186,27
25777,437,0,1,2,8,0,12,0,92,31
25779,381,0,2,2,0,0,15,0,65,60
25781,452,0,1,0,8,0,13,0,64,6
25785,1886,0,17,2,6,0,63,0,75,15
25793,328,0,2,0,1,0,10,0,92,7
25797,429,0,1,0,2,1,32,0,156,7
25799,1268,1,25,0,11,0,41,0,47,16
25805,228,0,3,0,11,0,8,0,68,31
25807,99,0,2,0,0,0,1,0,58,8
25815,1957,9,388,2,12,19,61,0,1284,278
25817,4336,1,53,0,4,0,185,0,278,20
25823,187,1,28,19,11,2,11,0,62,21
25839,258,0,4,0,6,0,11,0,77,74
25841,206,0,2,0,1,0,6,0,42,40
25843,6231,0,35,3,63,0,90,0,602,85
25845,677,0,1,0,1,4,12,0,85,110
25851,485,0,3,1,9,5,8,0,195,57
25862,294,2,4,11,5,2,25,0,97,43
25867,295,0,3,1,0,0,7,0,69,13
25871,119,0,1,2,4,0,25,0,25,24
25873,780,0,4,0,1,0,6,0,56,30
25875,3824,2,39,2,52,43,136,0,1204,15
25878,1051,30,15,10,25,12,36,0,420,54
25885,832,6,10,12,98,9,12,0,209,15
25898,392,0,4,2,3,0,18,0,88,29
25899,19108,1,202,2,55,2,145,0,933,129
27001,17191,20,1226,6,4955,15,73,24,3952,35
27006,1383,1,25,0,516,6,9,0,472,3
27025,57,6,9,1,517,1,1,30,4,10
27050,727,2,23,0,319,1,6,0,256,1
27073,674,0,9,0,156,1,3,0,171,0
27075,577,0,128,0,651,0,9,0,176,3
27077,495,3,24,0,705,0,6,0,74,3
27099,193,0,11,1,975,0,1,0,199,3
27135,855,0,5,9,235,2,2,1,275,1
27150,27,0,1,0,634,3,1,0,12,5
27160,531,0,56,0,74,0,3,0,232,4
27205,2174,1,84,1,269,3,4,0,504,108
27245,382,0,7,0,24,0,15,0,56,163
27250,70,0,7,0,496,1,24,0,56,2
27361,3442,2,443,0,1191,3,36,0,1339,9
27372,235,1,5,0,392,6,5,2,64,2
27413,590,1,48,1,425,0,0,0,214,5
27425,144,0,10,0,494,1,0,0,41,1
27430,240,2,23,1,1207,2,4,0,109,4
27450,427,1,17,0,197,0,0,0,74,0
27491,714,7,99,0,265,4,4,0,147,3
27495,163,2,23,1,156,4,2,1,9,2
27580,450,0,79,7,247,1,3,0,158,0
27600,766,0,39,0,517,0,5,0,258,4
27615,1117,2,76,4,4578,75,34,2,762,12
27660,370,19,55,5,111,3,11,0,163,20
27745,250,0,10,0,350,0,1,0,81,2
27787,2678,1,194,2,225,0,3,0,504,40
27800,1063,1,25,2,718,11,20,1,373,5
27810,1001,1,14,0,264,3,3,0,277,1
41001,67749,29,2359,85,1855,793,264,0,13034,571
41006,797,3,7,12,8,4,6,0,222,189
41013,726,0,146,100,1,0,3,0,311,552
41016,2529,4,13,25,35,55,7,0,763,276
41020,2742,0,19,5,27,33,2,0,847,193
41026,618,1,2,3,2,2,1,0,134,175
41078,396,0,9,9,1,7,2,0,150,579
41132,5800,1,82,8,8,22,59,0,957,447
41206,296,3,10,6,3,0,3,0,296,430
41244,292,0,5,6,1,0,0,0,68,197
41298,8524,6,107,90,73,97,23,0,1369,926
41306,2883,0,53,5,10,8,10,0,703,428
41319,1463,0,9,99,16,1,3,0,254,210
41349,1099,1,2,2,9,21,41,0,381,209
41357,612,0,7,69,24,0,14,0,579,370
41359,1320,6,8,5,162,7,3,0,135,82
41378,1147,4,12,6,18,1,28,0,148,105
41396,5648,1,67,74,51,7,22,0,1013,658
41483,306,0,63,1,6,2,1,0,133,295
41503,532,0,4,19,2,0,0,0,102,322
41518,576,1,4,6,1,1,0,0,141,219
41524,3768,1,35,9,13,32,2,0,841,541
41530,345,0,3,1,12,1,1,0,51,80
41548,897,2,10,3,1,1,0,0,236,284
41551,16596,33,195,56,99,22,51,0,2539,400
41615,3488,0,30,5,5,18,12,0,523,339
41660,317,0,10,7,11,1,2,0,56,80
41668,2626,4,23,7,73,3,7,0,462,432
41676,566,0,8,5,3,1,6,0,157,104
41770,1198,0,23,46,11,1,1,0,189,300
41791,1334,1,17,78,3,1,6,0,281,531
41797,1572,0,7,7,1,1,1,0,339,274
41799,1315,0,14,9,7,12,4,0,410,416
41801,987,0,4,1,1,0,2,0,187,67
41807,1582,1,7,51,2,3,6,0,206,491
41872,1002,0,5,21,8,1,17,0,305,615
41885,1495,0,13,40,0,1,2,0,268,175
44001,24184,127,797,184,615,1183,114,0,2280,680
44035,2819,12,37,3,62,158,21,0,127,221
44078,2311,4,86,1,18,90,20,0,472,102
44090,3766,54,12,3,173,288,84,0,557,29
44098,1660,1,100,1,2,39,15,0,272,449
44110,1183,0,5,0,4,0,1,0,149,102
44279,7210,92,304,0,46,200,46,0,903,576
44378,2368,0,137,2,15,22,32,0,566,427
44420,385,6,3,0,0,2,0,0,43,68
44430,12352,25,1018,11,143,1070,316,1,1736,105
44560,1369,1,52,2,35,61,27,0,482,67
44650,8075,8,220,80,92,74,21,0,1418,580
44847,1043,16,65,17,34,74,25,0,950,35
44855,1693,0,30,1,18,2,0,0,85,163
44874,3025,0,650,2,28,31,1,0,206,292
47001,86014,17,3253,17,1494,707,187,0,14036,63
47030,2597,0,7,0,33,15,3,0,386,219
47053,5902,44,400,2,166,45,10,0,336,34
47058,4147,49,107,30,333,44,48,0,535,262
47161,1387,23,106,41,1,54,4,0,163,46
47170,2452,39,230,40,142,12,9,0,431,130
47189,19624,14,320,8,599,694,370,0,1968,30
47205,2005,43,0,0,9,51,3,0,362,174
47245,8555,94,38,45,533,355,21,0,1248,749
47258,2919,128,8,1,46,31,23,0,545,477
47268,2620,68,6,12,47,31,20,0,274,29
47288,11784,28,418,5,168,88,233,1,1967,49
47318,2295,44,53,103,66,19,3,0,373,832
47460,1779,81,66,0,131,24,49,0,312,426
47541,1254,2,2,1,33,43,0,0,195,178
47545,990,8,42,197,70,8,6,0,235,219
47551,6193,9,12,22,57,21,4,0,1060,797
47555,7123,108,278,3,458,143,17,0,823,1623
47570,3805,10,117,9,260,83,5,0,146,33
47605,1534,20,3,2,4,29,8,0,256,125
47660,1133,14,16,6,181,3,1,0,254,373
47675,2061,30,3,4,9,8,0,0,269,48
47692,1889,41,13,12,125,6,96,0,412,446
47703,1443,2,23,5,40,2,0,0,225,288
47707,2971,17,11,40,51,16,43,0,319,185
47720,835,1,1,18,61,0,52,0,277,376
47745,3538,3,15,0,700,69,1,0,206,3
47798,1839,1,11,23,84,91,17,0,248,273
47960,894,77,12,1,376,5,0,0,146,182
47980,10338,383,197,281,372,399,20,0,983,272
50001,97905,14,3493,15,991,643,419,0,20132,89
50006,15496,4,200,2,71,68,35,0,3132,8
50110,947,0,7,0,8,34,7,0,147,6
50124,854,0,3,0,11,37,8,0,243,6
50150,1789,0,9,3,100,52,21,0,187,1
