COD,"Bloque, ladrillo, piedra, madera pulida","Cana, esterilla, otros vegetales",Concreto vaciado,Guadua,"Madera burda, tabla, tablon","Madera burda, tabla, tablon, otro vegetal",Material prefabricado,No tiene paredes,Sin informacion,"Tapia pisada, bahareque, adobe"
5895,9425,4,1649,1,2115,81,547,0,0,14
8001,1031597,11,62452,10,13032,479,6359,0,0,200
8078,53601,57,3317,15,451,1108,267,0,0,51
8137,20308,73,1149,10,43,142,170,0,0,328
8141,14713,57,169,0,8,10,175,0,0,105
8296,49479,5,1172,0,1573,41,72,0,0,14
8372,16399,90,275,0,1,3,6,0,0,93
8421,23713,39,78,33,179,513,574,0,0,1673
8433,110893,0,823,3,1733,126,3097,0,0,117
8436,15590,0,2689,0,9,59,0,0,0,44
8520,25453,21,30,0,777,118,0,0,0,8
8549,4406,5,3,23,0,23,6,0,0,91
8558,14342,0,35,0,0,253,0,0,0,0
8560,20709,128,301,0,931,135,3,0,0,91
8573,45062,1,280,4,1240,30,188,0,0,21
8606,20933,33,1377,0,241,28,24,0,0,2203
8634,29579,0,80,0,867,41,15,0,0,0
8638,83976,302,263,21,2233,306,253,0,0,747
8675,10928,0,238,0,0,283,707,0,0,104
8685,26348,0,81,0,566,100,50,0,0,8
8758,521422,10,9635,16,1514,73,1485,0,0,49
8770,9885,0,1270,0,0,1,6,0,0,4
8832,9021,0,164,0,138,34,11,0,0,297
8849,8779,0,30,18,4,127,0,0,0,9
11001,6873620,127,221631,319,7738,9317,17562,10,0,2550
13001,782034,1006,37810,19,46720,852,6284,0,0,2488
13006,6550,56,24,5,3289,45,12,9,0,196
13030,3287,15,105,23,1255,146,33,0,0,31
13042,5297,59,23,16,523,29,12,0,0,111
13052,51789,1136,5286,13,1901,817,382,0,0,3153
13062,6291,34,14,10,56,25,239,0,0,1060
13074,7220,122,29,135,494,56,1,0,0,273
13140,19220,212,16,0,85,65,438,0,0,1013
13160,3941,16,10,2,817,10,0,0,0,0
13188,10649,15,20,2,573,206,164,0,0,1011
13212,9362,75,155,15,138,10,98,0,0,3941
13222,9196,584,190,0,1247,123,21,0,0,1440
13244,38253,1120,108,5,932,821,32,0,0,14539
13248,4677,5,72,0,24,66,7,0,0,2752
13268,4247,45,9,16,1220,27,3,0,0,102
13300,7633,270,27,0,1856,137,16,0,0,369
13430,97595,2341,5837,699,8437,1825,2379,0,0,3433
13433,18692,52,83,462,254,299,117,0,0,3434
13440,4363,18,813,0,277,25,308,0,0,758
13442,32320,2499,345,152,1661,3162,951,0,0,534
13458,3348,1,62,13,2722,23,0,0,0,10
13468,31142,29,2402,703,1781,493,964,0,0,1578
13473,6793,55,121,75,2317,18,72,0,0,91
13490,1807,11,6,0,1312,29,18,0,0,4
13549,11010,643,182,21,3290,470,260,0,0,112
13580,3658,26,28,1,1005,20,57,0,0,5
13600,4204,60,57,11,1227,85,25,0,0,145
13620,6206,3,966,0,0,50,9,0,0,2
13647,13785,12,77,3,102,252,151,0,0,1573
13650,4929,0,4,9,470,6,409,0,0,852
13654,17054,4,88,26,296,391,31,0,0,4209
13655,2837,94,127,0,1365,130,4,0,0,62
13657,30346,93,289,28,556,589,37,0,0,1596
13667,8278,106,25,355,2388,45,50,0,0,415
13670,15531,139,39,8,5442,43,132,0,0,18
13673,11735,173,31,1,878,51,17,0,0,506
13683,10569,11,33,11,5375,8,1072,0,0,17
13688,18336,0,112,0,1239,50,19,0,0,92
13744,9089,14,133,34,1779,75,19,0,0,98
13760,7918,6,11,0,46,12,84,0,0,980
13780,9861,10,7,3,73,16,501,0,0,1145
13810,6302,38,15,30,3849,37,318,0,0,50
13836,92160,150,582,0,1590,148,81,0,0,123
13838,12452,48,26,0,1097,160,8,0,0,518
13873,13534,36,93,1,5733,104,23,0,0,641
13894,9005,22,12,0,165,497,31,0,0,745
15001,152616,0,4139,3,39,27,1640,0,0,1000
15022,276,0,9,0,1,0,12,0,0,16
15047,6104,3,66,1,26,0,103,0,0,145
15051,2181,0,144,0,0,7,36,0,0,10
15087,4250,0,7,0,0,4,1,0,0,218
15090,303,0,8,0,7,0,12,0,0,63
15092,289,0,3,0,0,0,0,0,0,91
15097,1858,0,13,0,0,0,0,0,0,389
15104,634,0,2,0,0,0,5,0,0,31
15106,454,0,6,0,0,0,0,0,0,4
15109,682,0,5,0,0,0,0,0,0,16
15114,361,0,6,0,0,0,0,0,0,43
15131,447,0,1,0,1,0,0,0,0,23
15135,745,0,7,0,11,0,24,0,0,100
15162,1577,0,3,0,7,0,4,0,0,23
15172,1108,0,5,0,0,0,4,0,0,33
15176,44587,2,483,5,114,9,350,0,0,218
15180,573,0,13,0,0,0,7,0,0,418
15183,1282,0,10,0,20,0,17,0,0,570
15185,1074,0,0,0,0,0,0,0,0,0
15187,454,0,0,0,3,0,0,0,0,13
15189,1168,0,14,0,0,0,2,0,0,23
15204,1367,0,8,0,0,0,2,0,0,43
15212,558,0,151,0,2,0,16,0,0,3
15215,1053,0,0,0,0,0,4,0,0,495
15218,409,0,0,0,0,0,2,0,0,68
15223,2222,0,33,0,293,133,3,0,0,8
15224,1204,0,0,0,0,5,5,0,0,240
15226,295,0,24,0,0,0,6,0,0,15
15232,404,0,0,0,0,0,0,0,0,4
15236,576,0,0,0,15,0,6,0,0,17
15238,104580,5,867,1,83,24,215,0,0,727
15244,1051,14,18,3,12,0,5,0,0,1035
15248,1005,0,16,0,7,0,0,0,0,199
15272,2380,0,0,0,17,0,0,0,0,88
15276,978,0,15,0,5,0,4,0,0,271
15293,373,0,107,3,0,0,29,0,0,43
15296,1225,0,14,0,0,0,0,0,0,82
15299,10357,0,119,0,40,12,143,0,0,127
15317,417,0,4,0,0,0,2,0,0,171
15322,6005,0,64,0,32,8,49,0,0,272
15325,842,0,1,0,7,0,86,0,0,68
15332,946,0,16,0,8,0,6,0,0,246
15362,942,0,22,0,8,0,4,0,0,183
15367,1653,0,5,0,8,0,4,0,0,14
15368,884,0,3,0,0,0,8,0,0,248
15377,880,0,11,0,13,0,1,0,0,165
15380,872,0,6,0,0,0,1,0,0,41
15401,313,0,0,0,1,0,4,0,0,10
15403,1073,0,91,0,0,1,10,0,0,107
15407,7771,0,32,4,15,0,5,0,0,97
15425,1021,0,9,0,2,0,0,0,0,65
15442,930,0,8,0,175,0,7,0,0,4
15455,4076,0,10,0,119,1,249,0,0,434
15464,1549,0,1,0,1,0,0,0,0,441
15466,2173,0,6,1,11,0,1,0,0,134
15469,10871,0,73,5,6,18,15,0,0,24
15476,698,0,10,0,0,0,6,0,0,1
15480,4414,0,19,11,609,64,209,0,0,0
15491,11170,0,630,0,3,4,13,0,0,113
15494,942,5,1,0,0,0,4,0,0,19
15500,366,0,17,0,3,0,0,0,0,14
15507,1790,0,282,0,1693,25,26,0,0,0
15511,461,0,3,0,2,0,5,0,0,23
15514,1181,0,46,0,47,0,73,0,0,79
15516,19244,0,166,0,10,0,111,0,0,176
15518,1249,0,9,1,20,3,0,0,0,0
15522,680,0,8,0,0,0,9,0,0,67
15531,1907,9,16,1,81,0,15,0,0,0
15533,282,0,0,0,16,0,0,0,0,240
15537,2602,0,13,0,0,0,4,0,0,32
15542,2109,9,5,0,0,0,0,0,0,122
15550,331,0,2,0,14,4,3,0,0,171
15572,32776,12,854,0,4590,427,93,0,0,31
15580,1162,3,14,3,514,17,3,0,0,14
15599,3787,0,28,0,18,0,4,0,0,96
15600,2120,0,15,0,11,0,22,0,0,116
15621,619,0,5,0,4,0,1,0,0,12
15632,777,0,84,0,0,2,5,0,0,160
15638,2386,0,0,0,4,0,17,0,0,38
15646,7152,0,34,4,3,0,54,0,0,68
15660,568,0,71,0,5,0,0,0,0,31
15664,903,0,0,0,33,1,7,0,0,2
15667,2363,0,139,0,36,1,31,0,0,23
15673,973,0,9,0,2,0,0,0,0,179
15676,353,0,0,0,0,0,0,0,0,55
15681,1357,0,2,0,750,0,49,0,0,0
15686,2531,8,25,14,24,5,22,0,0,28
15690,1896,0,27,0,21,2,15,0,0,6
