COD,"Bloque, ladrillo, piedra, madera pulida","Cana, esterilla, otros vegetales",Concreto vaciado,Guadua,"Madera burda, tabla, tablon","Madera burda, tabla, tablon, otro vegetal",Material prefabricado,No tiene paredes,Sin informacion,"Tapia pisada, bahareque, adobe"
8436,33,0,3,0,0,0,0,0,4,0
8520,16,0,0,0,2,1,0,0,4,0
8549,56,0,0,0,6,1,0,0,14,1
8558,71,0,0,0,0,4,0,0,6,0
8560,36,1,0,0,3,7,0,0,13,3
8573,26,0,0,0,5,2,1,0,10,7
8606,13,0,7,0,1,0,0,0,14,22
8634,25,0,0,0,0,0,0,0,0,0
8638,99,7,1,0,23,12,0,0,17,11
8675,12,0,0,0,0,13,0,0,4,0
8685,18,0,0,0,0,0,0,0,3,0
8758,58,0,0,0,1,0,0,0,0,0
8770,6,0,0,0,0,0,0,0,6,0
8832,83,1,0,0,8,3,0,0,73,1
8849,11,0,0,0,0,2,0,0,0,0
11001,789,1,33,1,35,8,13,0,98,10
13001,613,14,53,0,233,43,16,0,212,2
13006,136,4,1,1,336,5,2,0,11,11
13030,20,4,6,1,137,4,0,0,48,2
13042,9,1,0,0,52,1,1,0,6,0
13052,91,1,1,2,31,4,1,0,16,3
13062,17,0,0,0,2,1,0,0,149,2
13074,249,29,1,9,460,10,0,0,137,22
13140,29,1,0,0,2,0,0,0,6,1
13160,20,0,0,0,304,9,0,0,18,1
13188,10,0,0,0,1,1,0,0,0,1
13212,43,0,0,2,2,1,1,0,20,19
13222,18,17,0,0,13,0,0,0,10,11
13244,81,26,4,0,81,26,3,0,36,202
13248,14,0,1,0,5,0,0,0,32,3
13268,37,2,1,0,50,1,0,0,6,2
13300,40,18,0,0,26,0,0,0,20,6
13430,501,23,5,1,46,11,13,0,44,14
13433,68,0,1,0,9,1,2,0,9,13
13440,62,2,1,0,25,3,3,0,9,18
13442,110,21,0,0,15,27,0,0,19,4
13458,49,4,7,0,841,10,4,0,100,2
13468,122,1,34,11,27,0,14,0,25,36
13473,116,6,4,8,987,8,4,0,25,8
13490,23,0,0,0,288,37,0,0,33,1
13549,74,35,1,0,127,66,9,0,19,0
13580,22,0,20,0,15,0,1,0,11,0
13600,36,5,0,2,151,0,0,0,35,6
13620,5,0,0,0,0,0,0,0,0,0
13647,17,2,0,0,1,20,0,0,140,1
13650,48,0,0,0,52,1,1,0,12,32
13654,35,0,5,0,25,5,2,0,41,16
13655,34,8,0,0,139,5,0,0,8,0
13657,65,8,0,0,37,8,1,0,51,15
13667,34,2,0,32,188,7,0,0,41,3
13670,47,12,1,0,488,24,1,0,137,1
13673,34,2,0,0,15,0,1,0,59,0
13683,46,0,1,0,13,0,1,0,3,0
13688,80,0,0,0,651,29,1,0,69,7
13744,91,0,2,0,225,10,2,0,84,1
13760,15,0,0,0,1,0,0,0,1,1
13780,49,1,0,0,8,0,1,0,8,5
13810,34,8,0,3,373,6,1,0,65,9
13836,73,0,1,0,4,1,1,0,35,0
13838,34,0,0,0,6,0,0,0,1,1
13873,34,1,0,0,14,0,0,0,9,3
13894,32,1,0,0,6,5,0,0,13,19
15001,147,0,2,0,1,0,1,0,7,1
15022,11,0,0,0,0,1,0,0,0,0
15047,121,0,4,0,25,0,0,0,30,16
15051,19,0,6,0,0,0,1,0,2,0
15087,26,0,1,0,0,0,0,0,5,4
15090,10,0,0,0,8,0,1,0,0,1
15092,14,0,0,0,0,0,0,0,1,9
15097,7,0,0,1,1,0,0,0,7,31
15104,22,0,1,0,1,0,0,0,0,0
15106,3,0,0,1,8,0,0,0,2,0
15109,24,0,0,0,2,0,0,0,4,2
15114,2,0,0,0,0,0,0,0,0,5
15131,13,0,0,0,0,0,0,0,1,0
15135,18,0,0,0,12,0,0,0,1,10
15162,12,0,0,0,0,0,0,0,1,0
15172,13,0,0,0,1,0,0,0,0,0
15176,51,0,0,0,0,0,0,0,2,1
15180,10,0,0,1,1,0,0,0,15,32
15183,30,0,1,0,15,0,1,0,99,84
15185,37,0,0,3,5,0,0,0,2,2
15187,15,0,0,0,0,0,0,0,0,1
15189,12,0,0,0,0,0,0,0,0,0
15204,41,0,0,0,0,0,0,0,3,0
15212,313,1,4,0,72,1,3,0,69,10
15215,11,0,0,0,0,0,0,0,0,1
15218,11,0,0,0,0,0,0,0,2,10
15223,253,26,3,0,135,7,0,0,181,1
15224,7,0,0,0,0,0,0,0,1,0
15226,9,0,0,0,0,0,0,0,1,0
15232,35,0,0,0,0,0,0,0,1,1
15236,23,0,0,0,6,0,0,0,4,3
15238,91,0,1,0,1,0,1,0,8,6
15244,6,0,0,0,0,0,0,0,1,16
15248,9,0,1,0,0,0,0,0,0,8
15272,29,0,0,0,1,0,0,0,1,3
15276,5,0,0,0,0,0,0,0,2,17
15293,8,0,0,0,1,0,0,0,6,9
15296,23,0,0,0,0,0,0,0,1,3
15299,20,0,1,0,1,0,1,0,2,4
15317,7,0,0,0,0,0,0,0,1,4
15322,7,0,0,0,0,2,0,0,0,1
15325,3,0,0,0,0,0,0,0,2,9
15332,9,5,0,0,5,0,0,0,13,18
15362,6,0,0,0,0,0,0,0,0,2
15367,14,0,0,0,0,0,0,0,0,0
15368,5,0,0,0,1,0,0,0,2,20
15377,6,0,2,0,15,0,0,0,2,13
15380,5,0,0,0,0,0,0,0,3,2
15401,43,0,0,1,28,0,2,0,8,4
15403,8,0,0,0,0,0,0,0,0,12
15407,51,0,0,0,0,0,0,0,25,3
