Cod,Departamento,Edificaciones C. Municipal,Edificaciones C. Poblado,Edificaciones Rural Disperso y Resto,Personas C. Municipal,Personas C. Poblado,Personas Rural Disperso y Resto,Total edificaciones,Total personas,Población urbana,Edificaciones urbanas
91798,91,0,104,267,0,276,2472,371,2748,276,104
94001,94,4187,398,605,17852,2130,3107,5190,23089,19982,4585
94343,94,0,111,573,0,852,3516,684,4368,852,111
94663,94,0,0,122,0,0,728,122,728,0,0
94883,94,0,31,113,0,109,907,144,1016,109,31
94884,94,0,4,73,0,6,327,77,333,6,4
94885,94,0,14,21,0,66,91,35,157,66,14
94886,94,0,92,46,0,368,236,138,604,368,92
94887,94,0,19,47,0,130,301,66,431,130,19
94888,94,0,25,38,0,112,172,63,284,112,25
95001,95,10621,847,2105,33084,2405,8729,13573,44218,35489,11468
95015,95,1322,15,338,3953,43,3774,1675,7770,3996,1337
95025,95,1080,485,1197,3017,1271,5709,2762,9997,4288,1565
95200,95,515,266,627,1378,554,2014,1408,3946,1932,781
97001,97,1877,136,1110,7553,805,11970,3123,20328,8358,2013
97161,97,174,0,140,805,0,1223,314,2028,805,174
97511,97,0,37,193,0,136,1146,230,1282,136,37
97666,97,109,0,131,500,0,883,240,1383,500,109
97777,97,0,20,78,0,68,352,98,420,68,20
97889,97,0,7,78,0,12,377,85,389,12,7
99001,99,3856,400,333,12792,921,2329,4589,16042,13713,4256
99524,99,1721,148,472,5148,420,3253,2341,8821,5568,1869
99624,99,647,61,290,2282,82,1226,998,3590,2364,708
99773,99,1005,117,2184,2646,678,19551,3306,22875,3324,1122
