Municipio,Material Pared,Material Piso,Tipo Vivienda,No. edificaciones,TPER,THOG,Departamento,COD,No. total edificaciones
1,"Madera burda, tabla, tablon","Tierra, arena, barro",Casa,293,1158,385,5,5001,228726
1,"Madera burda, tabla, tablon","Tierra, arena, barro",Apartamento,50,158,56,5,5001,228726
1,"Cana, esterilla, otros vegetales","Marmol, parque, madera pulida y lacada",Casa,1,1,1,5,5001,228726
1,"Cana, esterilla, otros vegetales","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,1,1,1,5,5001,228726
1,"Cana, esterilla, otros vegetales","Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,1,5,1,5,5001,228726
1,"Cana, esterilla, otros vegetales","Cemento, gravilla",Casa,7,21,7,5,5001,228726
1,"Cana, esterilla, otros vegetales","Madera burda, tabla, tablon, otro vegetal",Casa,2,2,2,5,5001,228726
1,"Cana, esterilla, otros vegetales","Tierra, arena, barro",Casa,8,25,8,5,5001,228726
1,"Madera burda, tabla, tablon, otro vegetal","Marmol, parque, madera pulida y lacada",Casa,2,2,2,5,5001,228726
1,"Madera burda, tabla, tablon, otro vegetal","Marmol, parque, madera pulida y lacada",Apartamento,3,6,3,5,5001,228726
1,"Madera burda, tabla, tablon, otro vegetal","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,3,8,3,5,5001,228726
1,"Madera burda, tabla, tablon, otro vegetal","Cemento, gravilla",Casa,15,35,15,5,5001,228726
1,"Madera burda, tabla, tablon, otro vegetal","Cemento, gravilla",Apartamento,2,5,3,5,5001,228726
1,"Madera burda, tabla, tablon, otro vegetal","Madera burda, tabla, tablon, otro vegetal",Casa,4,12,4,5,5001,228726
1,"Madera burda, tabla, tablon, otro vegetal","Tierra, arena, barro",Casa,24,155,49,5,5001,228726
1,"Madera burda, tabla, tablon, otro vegetal","Tierra, arena, barro",Apartamento,3,11,4,5,5001,228726
2,Sin informacion,Sin informacion,Casa,358,0,0,5,5002,2530
2,Sin informacion,Sin informacion,Apartamento,77,0,0,5,5002,2530
2,"Bloque, ladrillo, piedra, madera pulida","Marmol, parque, madera pulida y lacada",Casa,28,36,28,5,5002,2530
2,"Bloque, ladrillo, piedra, madera pulida","Marmol, parque, madera pulida y lacada",Apartamento,2,9,4,5,5002,2530
2,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,427,1509,551,5,5002,2530
2,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,69,206,88,5,5002,2530
2,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Casa,145,573,194,5,5002,2530
2,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Apartamento,10,29,10,5,5002,2530
2,"Bloque, ladrillo, piedra, madera pulida","Madera burda, tabla, tablon, otro vegetal",Casa,4,8,4,5,5002,2530
