Cod,Departamento,Edificaciones C. Municipal,Edificaciones C. Poblado,Edificaciones Rural Disperso y Resto,Personas C. Municipal,Personas C. Poblado,Personas Rural Disperso y Resto,Total edificaciones,Total personas
05475,5.0,437.0,106.0,141.0,1553.0,647.0,870.0,684.0,3070.0
05480,5.0,1544.0,939.0,487.0,4936.0,2528.0,3574.0,2970.0,11038.0
05483,5.0,729.0,216.0,152.0,2741.0,591.0,5267.0,1097.0,8599.0
05490,5.0,2663.0,3250.0,956.0,9936.0,10487.0,17109.0,6869.0,37532.0
05495,5.0,2793.0,977.0,488.0,12960.0,4097.0,6743.0,4258.0,23800.0
05501,5.0,78.0,365.0,122.0,185.0,929.0,1605.0,565.0,2719.0
05541,5.0,2522.0,0.0,92.0,10998.0,0.0,6989.0,2614.0,17987.0
05543,5.0,605.0,156.0,130.0,2080.0,414.0,4644.0,891.0,7138.0
05576,5.0,1135.0,0.0,25.0,3803.0,0.0,3374.0,1160.0,7177.0
05579,5.0,7641.0,785.0,299.0,30987.0,2087.0,2692.0,8725.0,35766.0
05585,5.0,1467.0,2128.0,204.0,3859.0,5998.0,2264.0,3799.0,12121.0
05591,5.0,889.0,2897.0,169.0,2831.0,10380.0,2243.0,3955.0,15454.0
05604,5.0,2855.0,1494.0,699.0,11105.0,4125.0,7221.0,5048.0,22451.0
05607,5.0,2342.0,191.0,216.0,12168.0,984.0,7413.0,2749.0,20565.0
05615,5.0,14397.0,971.0,408.0,77168.0,6131.0,31474.0,15776.0,114773.0
05628,5.0,688.0,216.0,116.0,2853.0,784.0,4170.0,1020.0,7807.0
05631,5.0,5321.0,1282.0,71.0,69953.0,7914.0,3730.0,6674.0,81597.0
05642,5.0,1261.0,228.0,108.0,5809.0,1592.0,8301.0,1597.0,15702.0
05647,5.0,891.0,0.0,65.0,2681.0,0.0,3599.0,956.0,6280.0
05649,5.0,1618.0,344.0,196.0,7017.0,1483.0,5860.0,2158.0,14360.0
05652,5.0,836.0,376.0,143.0,2424.0,550.0,2248.0,1355.0,5222.0
05656,5.0,2170.0,0.0,105.0,6494.0,0.0,6621.0,2275.0,13115.0
05658,5.0,611.0,0.0,14.0,2111.0,0.0,820.0,625.0,2931.0
05659,5.0,2064.0,828.0,197.0,6624.0,2710.0,10641.0,3089.0,19975.0
05660,5.0,1612.0,207.0,102.0,6613.0,680.0,3802.0,1921.0,11095.0
05664,5.0,1772.0,76.0,101.0,10476.0,216.0,6324.0,1949.0,17016.0
05665,5.0,3757.0,221.0,284.0,11993.0,975.0,16888.0,4262.0,29856.0
05667,5.0,1891.0,11.0,186.0,7202.0,5.0,5344.0,2088.0,12551.0
05670,5.0,1528.0,1313.0,434.0,6127.0,3575.0,8022.0,3275.0,17724.0
05674,5.0,669.0,29.0,59.0,5297.0,55.0,12632.0,757.0,17984.0
05679,5.0,1894.0,720.0,59.0,10166.0,2271.0,9380.0,2673.0,21817.0
05686,5.0,1901.0,635.0,249.0,16423.0,1152.0,12767.0,2785.0,30342.0
05690,5.0,905.0,635.0,144.0,2397.0,2056.0,5049.0,1684.0,9502.0
05697,5.0,3284.0,0.0,18.0,23204.0,0.0,7036.0,3302.0,30240.0
05736,5.0,6509.0,832.0,1150.0,27176.0,2155.0,3925.0,8491.0,33256.0
05756,5.0,4336.0,1336.0,427.0,15719.0,4040.0,11825.0,6099.0,31584.0
05761,5.0,1880.0,317.0,194.0,6425.0,656.0,6606.0,2391.0,13687.0
05789,5.0,1875.0,529.0,110.0,6703.0,1580.0,6526.0,2514.0,14809.0
05790,5.0,3996.0,1856.0,321.0,12491.0,6885.0,3318.0,6173.0,22694.0
05792,5.0,415.0,51.0,32.0,3222.0,253.0,2159.0,498.0,5634.0
05809,5.0,940.0,403.0,69.0,3916.0,974.0,3289.0,1412.0,8179.0
05819,5.0,512.0,103.0,82.0,1687.0,313.0,2913.0,697.0,4913.0
05837,5.0,12425.0,11969.0,598.0,45402.0,46176.0,21852.0,24992.0,113430.0
05842,5.0,443.0,68.0,127.0,1979.0,277.0,4204.0,638.0,6460.0
05847,5.0,4261.0,82.0,419.0,15357.0,174.0,12021.0,4762.0,27552.0
05854,5.0,744.0,208.0,91.0,3198.0,1743.0,6564.0,1043.0,11505.0
05856,5.0,1152.0,0.0,17.0,3194.0,0.0,2219.0,1169.0,5413.0
05858,5.0,1718.0,185.0,116.0,7569.0,665.0,2876.0,2019.0,11110.0
05861,5.0,1125.0,694.0,83.0,4715.0,3086.0,2415.0,1902.0,10216.0
05873,5.0,746.0,613.0,583.0,3061.0,2235.0,1826.0,1942.0,7122.0
05885,5.0,862.0,34.0,170.0,3047.0,86.0,3075.0,1066.0,6208.0
05887,5.0,5601.0,995.0,309.0,26286.0,2707.0,6819.0,6905.0,35812.0
05890,5.0,1468.0,599.0,395.0,6081.0,1758.0,11072.0,2462.0,18911.0
05893,5.0,3206.0,799.0,273.0,9483.0,2601.0,5350.0,4278.0,17434.0
05895,5.0,1969.0,587.0,656.0,11067.0,2769.0,10166.0,3212.0,24002.0
08001,8.0,178328.0,0.0,99.0,1114140.0,0.0,735.0,178427.0,1114875.0
08078,8.0,11506.0,1714.0,126.0,50827.0,8040.0,2036.0,13346.0,60903.0
08137,8.0,4184.0,446.0,25.0,19868.0,2355.0,476.0,4655.0,22699.0
08141,8.0,2249.0,801.0,50.0,11161.0,4076.0,353.0,3100.0,15590.0
08296,8.0,10512.0,58.0,63.0,52090.0,266.0,2629.0,10633.0,54985.0
08372,8.0,1771.0,229.0,12.0,12343.0,4524.0,1901.0,2012.0,18768.0
08421,8.0,2954.0,2990.0,41.0,13969.0,12833.0,741.0,5985.0,27543.0
08433,8.0,22162.0,940.0,126.0,112523.0,4269.0,2836.0,23228.0,119628.0
08436,8.0,3398.0,220.0,40.0,17342.0,1049.0,758.0,3658.0,19149.0
08520,8.0,4202.0,61.0,23.0,26191.0,216.0,623.0,4286.0,27030.0
08549,8.0,527.0,395.0,78.0,2708.0,1849.0,1079.0,1000.0,5636.0
08558,8.0,2740.0,209.0,81.0,13284.0,1346.0,1316.0,3030.0,15946.0
08560,8.0,2541.0,1845.0,63.0,13510.0,8788.0,1083.0,4449.0,23381.0
08573,8.0,7151.0,1263.0,51.0,41882.0,4944.0,869.0,8465.0,47695.0
08606,8.0,4120.0,1600.0,57.0,17547.0,7292.0,585.0,5777.0,25424.0
08634,8.0,6001.0,0.0,25.0,30582.0,0.0,1360.0,6026.0,31942.0
08638,8.0,14892.0,4019.0,170.0,68587.0,19514.0,3820.0,19081.0,91921.0
08675,8.0,2240.0,221.0,29.0,10878.0,1382.0,297.0,2490.0,12557.0
08685,8.0,5628.0,0.0,21.0,27153.0,0.0,1241.0,5649.0,28394.0
08758,8.0,98762.0,0.0,59.0,534204.0,0.0,853.0,98821.0,535057.0
08770,8.0,1752.0,0.0,12.0,11166.0,0.0,432.0,1764.0,11598.0
08832,8.0,1092.0,1136.0,169.0,6351.0,3314.0,2794.0,2397.0,12459.0
08849,8.0,1650.0,0.0,13.0,8967.0,0.0,547.0,1663.0,9514.0
11001,11.0,982853.0,651.0,988.0,7130351.0,2523.0,12507.0,984492.0,7145381.0
13001,13.0,145418.0,20276.0,1186.0,796672.0,80541.0,5921.0,166880.0,883134.0
13006,13.0,1313.0,1157.0,507.0,4458.0,5728.0,8662.0,2977.0,18848.0
13030,13.0,945.0,255.0,222.0,3703.0,1192.0,4114.0,1422.0,9009.0
13042,13.0,1229.0,507.0,70.0,4485.0,1585.0,1099.0,1806.0,7169.0
13052,13.0,12868.0,2534.0,150.0,53720.0,10757.0,2254.0,15552.0,66731.0
13062,13.0,802.0,568.0,171.0,4710.0,3019.0,329.0,1541.0,8058.0
13074,13.0,1339.0,669.0,917.0,5673.0,2657.0,6088.0,2925.0,14418.0
13140,13.0,2675.0,2017.0,39.0,12660.0,8389.0,336.0,4731.0,21385.0
13160,13.0,654.0,384.0,352.0,3710.0,1086.0,2064.0,1390.0,6860.0
13188,13.0,2188.0,826.0,13.0,8673.0,3967.0,463.0,3027.0,13103.0
13212,13.0,1053.0,2552.0,88.0,4155.0,9639.0,1167.0,3693.0,14961.0
13222,13.0,2620.0,266.0,69.0,11706.0,1095.0,1016.0,2955.0,13817.0
13244,13.0,11778.0,1342.0,459.0,49869.0,5941.0,11242.0,13579.0,67052.0
13248,13.0,1001.0,861.0,55.0,4090.0,3513.0,248.0,1917.0,7851.0
13268,13.0,650.0,622.0,99.0,2732.0,2937.0,1554.0,1371.0,7223.0
13300,13.0,754.0,1489.0,110.0,3136.0,7172.0,1445.0,2353.0,11753.0
13430,13.0,22094.0,9144.0,658.0,87563.0,34983.0,4750.0,31896.0,127296.0
13433,13.0,2311.0,2996.0,103.0,10261.0,13132.0,2268.0,5410.0,25661.0
13440,13.0,461.0,1190.0,123.0,1593.0,4969.0,3145.0,1774.0,9707.0
13442,13.0,4867.0,5102.0,196.0,20140.0,21484.0,3584.0,10165.0,45208.0
13458,13.0,925.0,592.0,1017.0,3663.0,2516.0,7246.0,2534.0,13425.0
13468,13.0,5950.0,3875.0,270.0,22243.0,16849.0,3991.0,10095.0,43083.0
13473,13.0,1499.0,1051.0,1166.0,5924.0,3618.0,9135.0,3716.0,18677.0
13490,13.0,413.0,293.0,382.0,2020.0,1167.0,4657.0,1088.0,7844.0
13549,13.0,729.0,2348.0,331.0,3464.0,12524.0,7343.0,3408.0,23331.0
13580,13.0,707.0,452.0,69.0,3174.0,1626.0,508.0,1228.0,5308.0
13600,13.0,1161.0,410.0,235.0,4414.0,1400.0,2300.0,1806.0,8114.0
13620,13.0,1250.0,372.0,5.0,5633.0,1603.0,129.0,1627.0,7365.0
13647,13.0,2538.0,1029.0,181.0,11287.0,4668.0,486.0,3748.0,16441.0
13650,13.0,507.0,1197.0,146.0,1874.0,4805.0,3086.0,1850.0,9765.0
13654,13.0,4876.0,504.0,129.0,20602.0,1497.0,1113.0,5509.0,23212.0
13655,13.0,701.0,563.0,194.0,2311.0,2308.0,3447.0,1458.0,8066.0
13657,13.0,6402.0,1903.0,185.0,26383.0,7151.0,1830.0,8490.0,35364.0
13667,13.0,1797.0,1125.0,307.0,7022.0,4640.0,2818.0,3229.0,14480.0
13670,13.0,5129.0,789.0,711.0,18825.0,2527.0,3046.0,6629.0,24398.0
13673,13.0,1407.0,2158.0,111.0,5338.0,8054.0,635.0,3676.0,14027.0
13683,13.0,3098.0,0.0,64.0,17096.0,0.0,1276.0,3162.0,18372.0
13688,13.0,3486.0,827.0,837.0,16899.0,2949.0,7398.0,5150.0,27246.0
13744,13.0,1707.0,1653.0,415.0,5635.0,5606.0,4000.0,3775.0,15241.0
13760,13.0,2074.0,0.0,18.0,9057.0,0.0,118.0,2092.0,9175.0
13780,13.0,1435.0,1324.0,72.0,6045.0,5571.0,1201.0,2831.0,12817.0
13810,13.0,1350.0,917.0,499.0,6129.0,4510.0,7270.0,2766.0,17909.0
13836,13.0,17099.0,713.0,115.0,91551.0,3283.0,3078.0,17927.0,97912.0
13838,13.0,2597.0,565.0,42.0,12018.0,2291.0,1223.0,3204.0,15532.0
13873,13.0,4017.0,380.0,61.0,18574.0,1591.0,963.0,4458.0,21128.0
13894,13.0,2468.0,52.0,76.0,10259.0,218.0,574.0,2596.0,11051.0
15001,15.0,32987.0,0.0,159.0,159464.0,0.0,7286.0,33146.0,166750.0
15022,15.0,104.0,0.0,12.0,314.0,0.0,1267.0,116.0,1581.0
15047,15.0,1334.0,233.0,196.0,5761.0,687.0,7398.0,1763.0,13846.0
15051,15.0,550.0,0.0,28.0,2378.0,0.0,3066.0,578.0,5444.0
15087,15.0,1240.0,0.0,36.0,4480.0,0.0,2835.0,1276.0,7315.0
15090,15.0,164.0,0.0,20.0,393.0,0.0,1049.0,184.0,1442.0
15092,15.0,101.0,11.0,24.0,299.0,84.0,1511.0,136.0,1894.0
15097,15.0,692.0,0.0,47.0,2260.0,0.0,2669.0,739.0,4929.0
15104,15.0,222.0,0.0,24.0,672.0,0.0,3796.0,246.0,4468.0
15106,15.0,161.0,0.0,14.0,464.0,0.0,1570.0,175.0,2034.0
15109,15.0,195.0,0.0,32.0,703.0,0.0,3536.0,227.0,4239.0
15114,15.0,155.0,0.0,7.0,410.0,0.0,486.0,162.0,896.0
15131,15.0,100.0,83.0,14.0,234.0,238.0,2612.0,197.0,3084.0
15135,15.0,196.0,78.0,41.0,651.0,236.0,1817.0,315.0,2704.0
15162,15.0,479.0,0.0,13.0,1614.0,0.0,2021.0,492.0,3635.0
15172,15.0,472.0,0.0,14.0,1150.0,0.0,1672.0,486.0,2822.0
15176,15.0,9358.0,0.0,54.0,45768.0,0.0,5616.0,9412.0,51384.0
15180,15.0,360.0,85.0,59.0,847.0,164.0,2570.0,504.0,3581.0
15183,15.0,608.0,0.0,230.0,1899.0,0.0,5831.0,838.0,7730.0
15185,15.0,309.0,0.0,49.0,1074.0,0.0,3936.0,358.0,5010.0
15187,15.0,113.0,0.0,16.0,470.0,0.0,2310.0,129.0,2780.0
15189,15.0,406.0,0.0,12.0,1207.0,0.0,3283.0,418.0,4490.0
15204,15.0,345.0,22.0,44.0,1280.0,140.0,7917.0,411.0,9337.0
15212,15.0,287.0,0.0,473.0,730.0,0.0,2289.0,760.0,3019.0
